transaction_date,product_id,customer_id,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,Profit
2017-02-25,2,2950,False,Approved,Solex,Standard,medium,medium,71.49,53.62,17.869999999999997
2017-05-21,3,3120,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,1702.5499999999997
2017-10-16,37,402,False,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,1544.6100000000001
2017-08-31,88,3135,False,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,817.36
2017-10-01,78,787,True,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,1055.82
2017-03-08,25,2339,True,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,709.34
2017-04-21,22,1542,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,15.080000000000005
2017-07-15,15,2459,False,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,1279.3999999999999
2017-08-10,67,1305,False,Approved,Solex,Standard,medium,large,1071.23,380.74,690.49
2017-08-30,12,3262,True,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,1069.5500000000002
2017-01-17,5,1986,False,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,114.93
2017-01-05,61,2783,True,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,14.229999999999997
2017-02-26,35,1243,True,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,903.11
2017-09-10,16,2717,False,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,182.81000000000017
2017-06-11,12,247,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,1055.82
2017-10-10,3,2961,False,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,1702.5499999999997
2017-04-03,79,2426,False,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,737.5699999999999
2017-06-02,33,1842,False,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,144.26
2017-04-06,54,2268,True,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,1279.3999999999999
2017-01-28,25,3002,True,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,709.34
2017-10-09,27,1582,False,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,110.80999999999995
2017-06-29,37,595,True,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,1544.6100000000001
2017-04-08,37,2001,True,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,1544.6100000000001
2017-10-18,82,515,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,709.34
2017-06-11,89,2822,False,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,1305.25
2017-01-10,64,2596,False,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,872.8900000000001
2017-04-11,64,2666,True,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,872.8900000000001
2017-12-23,19,76,False,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,114.93
2017-10-13,72,3368,True,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,90.09999999999997
2017-03-15,91,1173,False,Approved,WeareA2B,Standard,low,medium,642.31,513.85,128.45999999999992
2017-09-05,88,2810,True,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,817.36
2017-02-18,1,3214,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,448.67999999999995
2017-03-20,25,1272,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,709.34
2017-02-28,99,2003,True,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,189.27999999999997
2017-08-20,0,2171,False,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,167.20999999999998
2017-07-07,92,3356,False,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,155.6500000000001
2017-01-09,14,1040,False,Approved,Solex,Standard,high,large,1842.92,1105.75,737.1700000000001
2017-12-06,2,2916,False,Approved,Solex,Standard,medium,medium,71.49,53.62,17.869999999999997
2017-09-12,12,427,False,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,1069.5500000000002
2017-11-28,0,2448,True,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,167.20999999999998
2017-05-08,44,2570,True,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,1660.88
2017-05-14,79,3398,False,Approved,Solex,Touring,medium,large,2083.94,675.03,1408.91
2017-03-17,76,488,False,Cancelled,WeareA2B,Standard,low,medium,642.31,513.85,128.45999999999992
2017-12-22,46,165,False,Approved,Solex,Standard,low,medium,1289.85,74.51,1215.34
2017-06-07,55,2787,True,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,1295.43
2017-06-20,66,3053,False,Approved,Solex,Standard,medium,medium,1163.89,589.27,574.6200000000001
2017-05-07,35,475,True,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,903.11
2017-06-10,81,1305,True,Approved,Solex,Standard,medium,medium,1151.96,649.49,502.47
2017-06-17,86,1251,False,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,110.56
2017-05-10,32,3103,False,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,431.33000000000004
2017-03-24,77,3108,False,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,445.2099999999999
2017-11-27,96,857,False,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,641.64
2017-12-21,6,3455,True,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,91.15
2017-02-09,27,2549,True,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,110.80999999999995
2017-09-18,0,3140,False,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,72.59999999999997
2017-11-14,47,3406,False,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,189.27999999999997
2017-08-30,94,2294,True,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,641.64
2017-11-14,91,1031,False,Approved,Solex,Standard,medium,medium,100.35,75.26,25.08999999999999
2017-02-15,93,993,True,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,583.2700000000001
2017-12-18,60,3473,False,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,217.51
2017-02-24,0,1839,False,Approved,OHM Cycles,Road,high,large,12.01,7.21,4.8
2017-12-18,33,1824,True,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,144.26
2017-12-17,35,368,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,448.67999999999995
2017-07-08,0,2000,False,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,110.80999999999995
2017-05-16,28,825,True,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,133.7800000000002
2017-02-23,86,3315,True,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,110.56
2017-07-03,2,75,True,Approved,Solex,Standard,medium,medium,71.49,53.62,17.869999999999997
2017-09-30,4,1498,True,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,451.6500000000001
