Date,Open,High,Low,Close,Adj Close,Volume
2018-01-10,111.44000244140625,113.23999786376953,110.77999877929688,111.8499984741211,108.57437896728516,41800
2018-01-11,112.44000244140625,114.0,111.25,113.62000274658203,110.29255676269531,85100
2018-01-12,113.94999694824219,115.66999816894531,112.5999984741211,114.9800033569336,111.72089385986328,45800
2018-01-16,115.58999633789062,116.72000122070312,113.16999816894531,114.43000030517578,111.18645477294922,73200
2018-01-17,114.91000366210938,115.22000122070312,113.62999725341797,115.22000122070312,111.95407104492188,28300
2018-01-18,115.11000061035156,115.8499984741211,114.2699966430664,114.87000274658203,111.61398315429688,46100
2018-01-19,114.9000015258789,118.81999969482422,114.9000015258789,118.43000030517578,115.07308197021484,57900
2018-01-22,118.04000091552734,118.4000015258789,116.5,117.55000305175781,114.218017578125,66000
2018-01-23,117.0199966430664,117.08999633789062,114.29000091552734,115.6500015258789,112.37187957763672,51100
2018-01-24,115.6500015258789,116.9800033569336,113.79000091552734,115.1500015258789,111.88606262207031,46900
2018-01-25,115.97000122070312,118.0,114.44999694824219,117.87000274658203,114.52897644042969,79000
2018-01-26,118.0,120.58999633789062,116.16999816894531,120.12999725341797,116.72489929199219,80400
2018-01-29,119.48999786376953,120.0,118.0199966430664,118.4000015258789,115.0439453125,40100
2018-01-30,117.52999877929688,118.12000274658203,115.97000122070312,117.5999984741211,114.26659393310547,38800
2018-01-31,118.54000091552734,118.54000091552734,114.91000366210938,115.02999877929688,111.76947021484375,44900
2018-02-01,114.87000274658203,116.2300033569336,113.22000122070312,115.56999969482422,112.29415893554688,73800
2018-02-02,114.68000030517578,115.37000274658203,111.44999694824219,111.56999969482422,108.40753936767578,58600
2018-02-05,110.05999755859375,113.2300033569336,109.81999969482422,110.5999984741211,107.46502685546875,86800
2018-02-06,108.22000122070312,112.26000213623047,107.9000015258789,110.87000274658203,107.72738647460938,71500
2018-02-07,110.68000030517578,113.41000366210938,108.19999694824219,111.80000305175781,108.63101959228516,70900
2018-02-08,111.72000122070312,111.9800033569336,109.31999969482422,109.73999786376953,106.62940979003906,49400
2018-02-09,111.04000091552734,111.72000122070312,107.44999694824219,111.23999786376953,108.08688354492188,34900
2018-02-12,111.5999984741211,112.7699966430664,109.29000091552734,110.30000305175781,107.17352294921875,46300
2018-02-13,109.4000015258789,111.16999816894531,108.25,109.86000061035156,106.74600219726562,53600
2018-02-14,109.26000213623047,112.19999694824219,109.2300033569336,111.66999816894531,108.50469207763672,60100
2018-02-15,112.47000122070312,115.7300033569336,110.55000305175781,112.55000305175781,109.3597640991211,31700
2018-02-16,112.2300033569336,114.08000183105469,111.87999725341797,112.83000183105469,109.63182830810547,62800
2018-02-20,112.22000122070312,115.08000183105469,112.18000030517578,112.83000183105469,109.63182830810547,38500
2018-02-21,113.0999984741211,113.8499984741211,111.88999938964844,112.62000274658203,109.42777252197266,62100
2018-02-22,113.02999877929688,113.55999755859375,111.16000366210938,112.36000061035156,109.17515563964844,87100
2018-02-23,112.87999725341797,115.80000305175781,112.87999725341797,115.75,112.46904754638672,48200
2018-02-26,116.05999755859375,116.33999633789062,114.33999633789062,114.83000183105469,111.57511901855469,34500
2018-02-27,114.80000305175781,115.87999725341797,112.33000183105469,112.6500015258789,109.45691680908203,59600
2018-02-28,112.87000274658203,114.80000305175781,111.04000091552734,111.1500015258789,107.99945831298828,76500
2018-03-01,111.25,111.2699966430664,106.77999877929688,108.47000122070312,105.39540100097656,56500
2018-03-02,107.81999969482422,107.81999969482422,102.62000274658203,106.72000122070312,103.69499206542969,82400
2018-03-05,105.72000122070312,110.5,105.70999908447266,108.55000305175781,105.47312927246094,146500
2018-03-06,109.0,112.58000183105469,109.0,111.95999908447266,108.78648376464844,73800
2018-03-07,110.77999877929688,112.4000015258789,109.77999877929688,111.4000015258789,108.24237060546875,48900
2018-03-08,112.11000061035156,114.4000015258789,110.69999694824219,113.41999816894531,110.20509338378906,50100
2018-03-09,113.26000213623047,117.41000366210938,113.26000213623047,116.1500015258789,112.85770416259766,52500
2018-03-12,116.5999984741211,118.0,115.30999755859375,116.91000366210938,113.5961685180664,52000
2018-03-13,117.37999725341797,117.37999725341797,115.0,115.4800033569336,112.20670318603516,26500
2018-03-14,116.0199966430664,116.0199966430664,114.2699966430664,114.83000183105469,111.57511901855469,24000
2018-03-15,115.0999984741211,115.95999908447266,113.36000061035156,114.55999755859375,111.31278991699219,51800
2018-03-16,114.4000015258789,117.83999633789062,112.72000122070312,116.66000366210938,113.3532485961914,105700
2018-03-19,116.06999969482422,116.06999969482422,111.68000030517578,113.2699966430664,110.05936431884766,27800
2018-03-20,113.70999908447266,115.37000274658203,112.88999938964844,113.91999816894531,110.69091796875,21600
2018-03-21,113.62000274658203,115.56999969482422,113.5,114.33999633789062,111.0990219116211,31000
2018-03-22,113.9800033569336,116.75,111.52999877929688,111.69999694824219,108.53385162353516,56500
2018-03-23,112.0,112.0999984741211,109.5999984741211,109.5999984741211,106.49336242675781,33400
2018-03-26,111.13999938964844,113.37999725341797,109.70999908447266,113.12999725341797,109.92332458496094,108400
2018-03-27,112.93000030517578,114.23999786376953,109.51000213623047,110.45999908447266,107.32899475097656,77300
2018-03-28,110.5,111.91999816894531,109.33999633789062,110.44000244140625,107.3095703125,29900
2018-03-29,111.83999633789062,111.83999633789062,109.69999694824219,109.9000015258789,106.78487396240234,44200
2018-04-02,109.95999908447266,111.29000091552734,108.1500015258789,109.83000183105469,106.71686553955078,53700
2018-04-03,110.29000091552734,111.75,109.01000213623047,110.9000015258789,107.75652313232422,47000
2018-04-04,109.05000305175781,113.11000061035156,108.52999877929688,112.2699966430664,109.08767700195312,66800
